event_title,event_id,event_type,event_start,event_end,exp_attendance,exp_participants,event_host,event_url,event_address,lat,long
Port of San Diego Holiday Bowl Parade,51283,PARADES,2018-12-31 9:50,2018-12-31 13:00,60000,5000,Holiday Bowl,www.holidaybowl.com,Harbor Dr & Cedar St.,32.7293076,-117.1997407
Holiday Bowl 5K,51284,ATHLETIC,2018-12-31 8:00,2018-12-31 11:00,1000,100,KOZ Events,www.kozenterprises.com,Harbor Dr.& Ash St,,
Sunday Artisan Market,50588,FARMERS,2018-12-30 10:00,2018-12-30 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49953,FARMERS,2018-12-30 9:00,2018-12-30 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50424,FARMERS,2018-12-30 9:00,2018-12-30 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Old Town Artisan's Market,50423,FARMERS,2018-12-29 9:00,2018-12-29 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
City Heights Farmer's Market (Every Saturday),50130,FARMERS,2018-12-29 9:00,2018-12-29 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
The Mercato Little Italy's Farmers' Market,50028,FARMERS,2018-12-29 8:00,2018-12-29 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Mission Valley Farmers' Market at Civita,51305,FARMERS,2018-12-28 15:00,2018-12-28 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
Holiday Bowl 5K,49893,ATHLETIC,2018-12-28 9:45,2018-12-28 12:00,1000,100,KOZ Events,www.kozenterprises.com,Harbor Drive & Ash Streeet,32.7093836,-117.1628654
North Park Thursday Market,50078,FARMERS,2018-12-27 15:00,2018-12-27 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Ocean Beach Certified Farmer's Market (Wednesdays),50212,FARMERS,2018-12-26 16:00,2018-12-26 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Sunday Artisan Market,50587,FARMERS,2018-12-23 10:00,2018-12-23 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49952,FARMERS,2018-12-23 9:00,2018-12-23 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50422,FARMERS,2018-12-23 9:00,2018-12-23 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Old Town Artisan's Market,50421,FARMERS,2018-12-22 9:00,2018-12-22 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Ocean Beach Town Council Craft Fair,50804,FARMERS,2018-12-22 9:00,2018-12-22 16:00,150,50,Ocean Beach Town Council,www.obtowncouncil.org,1900 Ocean Front Street,32.9646989,-117.2678836
City Heights Farmer's Market (Every Saturday),50129,FARMERS,2018-12-22 9:00,2018-12-22 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
The Mercato Little Italy's Farmers' Market,50027,FARMERS,2018-12-22 8:00,2018-12-22 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Mission Valley Farmers' Market at Civita,51304,FARMERS,2018-12-21 15:00,2018-12-21 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
North Park Thursday Market,50077,FARMERS,2018-12-20 15:00,2018-12-20 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Ocean Beach Certified Farmer's Market (Wednesdays),50211,FARMERS,2018-12-19 16:00,2018-12-19 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Curbside Bites Food Truck Markets - Downtown Lunch,49831,FARMERS,2018-12-19 11:00,2018-12-19 14:00,300,30,Curbside Bites,www.curbsidebites.com,B & India Streets,32.715738,-117.1610838
Little Italy's Wednesday Farmers Market,50929,FARMERS,2018-12-19 9:00,2018-12-19 13:00,1200,80,Little Italy Association of San Diego,www.littleitalymercato.com,Date & State Streets,,
Pacific Beach Tuesday Farmers' Market,50505,FARMERS,2018-12-18 14:00,2018-12-18 19:00,800,60,Discover PB,www.pacificbeachmarket.com,Bayard Street & Grand Avenue,32.7999983,-117.254587
Sunday Artisan Market,50586,FARMERS,2018-12-16 10:00,2018-12-16 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49951,FARMERS,2018-12-16 9:00,2018-12-16 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50420,FARMERS,2018-12-16 9:00,2018-12-16 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
SD Hmong Community New Year Celebration (2-Day),51312,FESTIVAL,2018-12-16 8:00,2018-12-16 18:00,1500,100,Lao Hmong Family Association,www.lhfasd.org,3170 Armstrong St,32.8019805,-117.1656894
Hillcrest Car Show,50154,FESTIVAL,2018-12-15 14:00,2018-12-15 18:00,250,20,Hillcrest Business Association,www.fabuloushillcrest.com,Normal & Harvey Milk Streets,32.7521124,-117.1481502
Pacific Beach Holiday Parade,51314,PARADES,2018-12-15 13:00,2018-12-15 15:30,15000,600,Discover Pacific Beach,www.pacificbeachfest.com,Garnet Avenue & Mission Blvd,32.801394,-117.2335118
Ocean Beach Town Council Craft Fair,50803,FARMERS,2018-12-15 9:00,2018-12-15 16:00,150,50,Ocean Beach Town Council,www.obtowncouncil.org,1900 Ocean Front Street,32.9646989,-117.2678836
City Heights Farmer's Market (Every Saturday),50128,FARMERS,2018-12-15 9:00,2018-12-15 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
Old Town Artisan's Market,50419,FARMERS,2018-12-15 9:00,2018-12-15 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
San Diego Santa Run 5K & 1-Mile,51313,ATHLETIC,2018-12-15 8:30,2018-12-15 13:00,3000,100,Discover PB,www.sandiegorunningco.com/santarun,Ganet Avenue and Bayard Street,32.796963,-117.25367
SD Hmong Community New Year Celebration (2-Day),51311,FESTIVAL,2018-12-15 8:00,2018-12-15 18:00,1500,100,Lao Hmong Family Association,www.lhfasd.org,3170 Armstrong St,32.8019805,-117.1656894
The Mercato Little Italy's Farmers' Market,50026,FARMERS,2018-12-15 8:00,2018-12-15 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Mission Valley Farmers' Market at Civita,51303,FARMERS,2018-12-14 15:00,2018-12-14 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
North Park Thursday Market,50076,FARMERS,2018-12-13 15:00,2018-12-13 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Ocean Beach Certified Farmer's Market (Wednesdays),50210,FARMERS,2018-12-12 16:00,2018-12-12 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Curbside Bites Food Truck Markets - Downtown Lunch,49830,FARMERS,2018-12-12 11:00,2018-12-12 14:00,300,30,Curbside Bites,www.curbsidebites.com,B & India Streets,32.715738,-117.1610838
Little Italy's Wednesday Farmers Market,50928,FARMERS,2018-12-12 9:00,2018-12-12 13:00,1200,80,Little Italy Association of San Diego,www.littleitalymercato.com,Date & State Streets,,
Pacific Beach Tuesday Farmers' Market,50504,FARMERS,2018-12-11 14:00,2018-12-11 19:00,800,60,Discover PB,www.pacificbeachmarket.com,Bayard Street & Grand Avenue,32.7999983,-117.254587
The Winter Classic,50947,ATHLETIC,2018-12-09 14:00,2018-12-09 17:00,1000,100,San Diego Crew Classic,,1740 East Mission Bay Drive,32.77676793,-117.2097387
Sunday Artisan Market,50585,FARMERS,2018-12-09 10:00,2018-12-09 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49950,FARMERS,2018-12-09 9:00,2018-12-09 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50418,FARMERS,2018-12-09 9:00,2018-12-09 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Ray at Night (2nd Saturday Each Month),50142,FARMERS,2018-12-08 18:00,2018-12-08 22:00,500,40,North Park for the Arts,www.northparkarts.org,Ray Street & University Avenue,32.7447533,-117.1292257
Holiday in the Hills,51350,FESTIVAL,2018-12-08 17:00,2018-12-08 22:00,400,25,Salon Bella,,West Lewis Street & Stephens Street,32.751837,-117.1721309
SWEA December Nights (2-Day Event),51282,FESTIVAL,2018-12-08 17:00,2018-12-08 23:00,15000/day,100,SWEA San Diego,www.swea.org,1350 El Prado,32.73165866,-117.1522116
41st Balboa Park December Nights (2-Day Event),51286,FESTIVAL,2018-12-08 12:00,2018-12-08 23:00,350000,2000,City of San Diego,www.visitdecembernights.org,1500 El Prado,32.71965299,-117.0452171
City Heights Farmer's Market (Every Saturday),50127,FARMERS,2018-12-08 9:00,2018-12-08 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
Ocean Beach Town Council Craft Fair,50802,FARMERS,2018-12-08 9:00,2018-12-08 16:00,150,50,Ocean Beach Town Council,www.obtowncouncil.org,1900 Ocean Front Street,32.9646989,-117.2678836
Old Town Artisan's Market,50417,FARMERS,2018-12-08 9:00,2018-12-08 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
The Mercato Little Italy's Farmers' Market,50025,FARMERS,2018-12-08 8:00,2018-12-08 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Toys For Joy 2018,51321,FESTIVAL,2018-12-08 7:00,2018-12-08 15:00,11000,2000,Rock Church San Diego,www.toys-for-joy.org,4777 Imperial Avenue,32.7039905,-117.0920255
26h Annual Jingle Bell Run,50898,ATHLETIC,2018-12-08 6:00,2018-12-08 11:00,2000,100,Arthritis Foundation,www.sdjbr.org,Balboa Drive & Quince Street,32.7326435,-117.1580791
SWEA December Nights (2-Day Event),51281,FESTIVAL,2018-12-07 17:00,2018-12-07 23:00,15000/day,100,SWEA San Diego,www.swea.org,1350 El Prado,32.73165866,-117.1522116
Mission Valley Farmers' Market at Civita,51302,FARMERS,2018-12-07 15:00,2018-12-07 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
41st Balboa Park December Nights (2-Day Event),51285,FESTIVAL,2018-12-07 15:00,2018-12-07 23:00,350000,2000,City of San Diego,www.visitdecembernights.org,1500 El Prado,32.71965299,-117.0452171
North Park Thursday Market,50075,FARMERS,2018-12-06 15:00,2018-12-06 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Ocean Beach Certified Farmer's Market (Wednesdays),50209,FARMERS,2018-12-05 16:00,2018-12-05 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Curbside Bites Food Truck Markets - Downtown Lunch,49829,FARMERS,2018-12-05 11:00,2018-12-05 14:00,300,30,Curbside Bites,www.curbsidebites.com,B & India Streets,32.715738,-117.1610838
Little Italy's Wednesday Farmers Market,50927,FARMERS,2018-12-05 9:00,2018-12-05 13:00,1200,80,Little Italy Association of San Diego,www.littleitalymercato.com,Date & State Streets,,
Pacific Beach Tuesday Farmers' Market,50503,FARMERS,2018-12-04 14:00,2018-12-04 19:00,800,60,Discover PB,www.pacificbeachmarket.com,Bayard Street & Grand Avenue,32.7999983,-117.254587
61st La Jolla Christmas Parade & Holiday Festival,50639,PARADES,2018-12-02 13:30,2018-12-02 17:00,6000,1000,La Jolla Christmas Parade & Holiday Festival,www.ljparade.com,615 Prospect Street,32.8433225,-117.2778663
SoNo Fest & Chili Cook-Off,51308,FESTIVAL,2018-12-02 11:00,2018-12-02 17:00,10000,200,McKinley School Foundation,www.sonofestchilecookoff.com,Thorn & 31st Streets,32.7392534,-117.1254281
Sunday Artisan Market,50584,FARMERS,2018-12-02 10:00,2018-12-02 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
Old Town Artisan's Market,50416,FARMERS,2018-12-02 9:00,2018-12-02 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
2018 Hillcrest Farmers' Market (Sundays),49949,FARMERS,2018-12-02 9:00,2018-12-02 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Girls on the Run 5K,50638,ATHLETIC,2018-12-02 7:30,2018-12-02 11:00,1900,100,Girls on the Run San Diego,www.gotrsd.org,3500 Corona Oriente Road,32.78511184,-117.2339605
City Heights Farmer's Market (Every Saturday),50126,FARMERS,2018-12-01 9:00,2018-12-01 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
Ocean Beach Town Council Craft Fair,50801,FARMERS,2018-12-01 9:00,2018-12-01 14:00,150,50,Ocean Beach Town Council,www.obtowncouncil.org,1900 Ocean Front Street,32.9646989,-117.2678836
Old Town Artisan's Market,50415,FARMERS,2018-12-01 9:00,2018-12-01 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
The Mercato Little Italy's Farmers' Market,50024,FARMERS,2018-12-01 8:00,2018-12-01 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
H2O San Diego 5K & 1 Mile Run/Walk,50443,ATHLETIC,2018-12-01 7:00,2018-12-01 10:00,500,50,City of San Diego Public Utilities Department,www.kathyloperevents.com/sandiegoevents,3000 North Mission Bay Drive,32.7973922,-117.2141197
Mission Valley Farmers' Market at Civita,51301,FARMERS,2018-11-30 15:00,2018-11-30 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
Daily Food Trucks,51090,FESTIVAL,2018-11-30 11:00,2018-11-30 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
North Park Thursday Market,50074,FARMERS,2018-11-29 15:00,2018-11-29 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Daily Food Trucks,51232,FESTIVAL,2018-11-29 11:00,2018-11-29 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Ocean Beach Certified Farmer's Market (Wednesdays),50208,FARMERS,2018-11-28 16:00,2018-11-28 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Daily Food Trucks,51088,FESTIVAL,2018-11-28 11:00,2018-11-28 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Curbside Bites Food Truck Markets - Downtown Lunch,49828,FARMERS,2018-11-28 11:00,2018-11-28 14:00,300,30,Curbside Bites,www.curbsidebites.com,B & India Streets,32.715738,-117.1610838
Little Italy's Wednesday Farmers Market,50926,FARMERS,2018-11-28 9:00,2018-11-28 13:00,1200,80,Little Italy Association of San Diego,www.littleitalymercato.com,Date & State Streets,,
Pacific Beach Tuesday Farmers' Market,50502,FARMERS,2018-11-27 14:00,2018-11-27 19:00,800,60,Discover PB,www.pacificbeachmarket.com,Bayard Street & Grand Avenue,32.7999983,-117.254587
Daily Food Trucks,51230,FESTIVAL,2018-11-27 11:00,2018-11-27 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Daily Food Trucks,51229,FESTIVAL,2018-11-26 11:00,2018-11-26 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Daily Food Trucks,51228,FESTIVAL,2018-11-25 11:00,2018-11-25 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Sunday Artisan Market,50583,FARMERS,2018-11-25 10:00,2018-11-25 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
Old Town Artisan's Market,50414,FARMERS,2018-11-25 9:00,2018-11-25 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
2018 Hillcrest Farmers' Market (Sundays),49948,FARMERS,2018-11-25 9:00,2018-11-25 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Daily Food Trucks,51227,FESTIVAL,2018-11-24 11:00,2018-11-24 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Old Town Artisan's Market,50413,FARMERS,2018-11-24 9:00,2018-11-24 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Ocean Beach Town Council Craft Fair,50800,FARMERS,2018-11-24 9:00,2018-11-24 16:00,150,50,Ocean Beach Town Council,www.obtowncouncil.org,1900 Ocean Front Street,32.9646989,-117.2678836
City Heights Farmer's Market (Every Saturday),50125,FARMERS,2018-11-24 9:00,2018-11-24 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
The Mercato Little Italy's Farmers' Market,50023,FARMERS,2018-11-24 8:00,2018-11-24 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Mission Valley Farmers' Market at Civita,51300,FARMERS,2018-11-23 15:00,2018-11-23 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
Daily Food Trucks,51226,FESTIVAL,2018-11-23 11:00,2018-11-23 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
North Park Thursday Market,50073,FARMERS,2018-11-22 15:00,2018-11-22 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Daily Food Trucks,51225,FESTIVAL,2018-11-22 11:00,2018-11-22 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Father Joe's Thanksgiving Day 5K,50733,ATHLETIC,2018-11-22 6:30,2018-11-22 11:00,9000,100,St. Vincent De Paul Village,www.thanksgivingrun.org,,NaN,NaN
Thanksgiving Day Run/Walk For The Hungry,51323,ATHLETIC,2018-11-22 5:30,2018-11-22 10:00,4500,100,San Diego Run for the Hungry,www.unitedrunforthe hungry.org,Broadway Circle & Broadway,32.7152511,-117.1628829
Ocean Beach Certified Farmer's Market (Wednesdays),50207,FARMERS,2018-11-21 16:00,2018-11-21 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Daily Food Trucks,51224,FESTIVAL,2018-11-21 11:00,2018-11-21 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Little Italy's Wednesday Farmers Market,50925,FARMERS,2018-11-21 9:00,2018-11-21 13:00,1200,80,Little Italy Association of San Diego,www.littleitalymercato.com,Date & State Streets,,
Pacific Beach Tuesday Farmers' Market,50501,FARMERS,2018-11-20 14:00,2018-11-20 19:00,800,60,Discover PB,www.pacificbeachmarket.com,Bayard Street & Grand Avenue,32.7999983,-117.254587
Daily Food Trucks,51223,FESTIVAL,2018-11-20 11:00,2018-11-20 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Daily Food Trucks,51222,FESTIVAL,2018-11-19 11:00,2018-11-19 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Daily Food Trucks,51221,FESTIVAL,2018-11-18 11:00,2018-11-18 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Sunday Artisan Market,50582,FARMERS,2018-11-18 10:00,2018-11-18 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49947,FARMERS,2018-11-18 9:00,2018-11-18 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50412,FARMERS,2018-11-18 9:00,2018-11-18 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
Hillcrest Car Show,50153,FESTIVAL,2018-11-17 14:00,2018-11-17 18:00,250,20,Hillcrest Business Association,www.fabuloushillcrest.com,Normal & Harvey Milk Streets,32.7521124,-117.1481502
Daily Food Trucks,51220,FESTIVAL,2018-11-17 11:00,2018-11-17 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
City Heights Farmer's Market (Every Saturday),50124,FARMERS,2018-11-17 9:00,2018-11-17 13:00,500,100,San Diego County Farm Bureau,www.sdfarmbureau.org,Wightman & 43rd Streets,32.7477532,-117.0999832
10th Annual Doggie Street Festival,50933,FESTIVAL,2018-11-17 9:00,2018-11-17 15:00,,,Doggie Street Festival,www.doggiestreetfestival.org,2455 Cushing Road,32.73487869,-117.2139081
Old Town Artisan's Market,50411,FARMERS,2018-11-17 9:00,2018-11-17 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
San Diego CIF Cross Country Championships,50732,ATHLETIC,2018-11-17 8:30,2018-11-17 15:00,1500,100,San Diego CIF,,2221 Morley Field Dr,32.7400633,-117.1411991
The Mercato Little Italy's Farmers' Market,50022,FARMERS,2018-11-17 8:00,2018-11-17 14:00,1500,400,Little Italy Association of San Diego,www.littleitalymercato.com,Cedar & Front Streets,32.7219778,-117.1615697
Mission Valley Farmers' Market at Civita,51299,FARMERS,2018-11-16 15:00,2018-11-16 19:00,1000,40,San Diego County Farm Bureau,,Civita Boulevard & Russell Parkway,32.7773307,-117.1484572
Daily Food Trucks,51219,FESTIVAL,2018-11-16 11:00,2018-11-16 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
North Park Thursday Market,50072,FARMERS,2018-11-15 15:00,2018-11-15 19:30,900,70,North Park Main Street,www.northparkmarket.com,North Park Way & Granada Avenue,32.7474103,-117.1266214
Daily Food Trucks,51218,FESTIVAL,2018-11-15 11:00,2018-11-15 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Ocean Beach Certified Farmer's Market (Wednesdays),50206,FARMERS,2018-11-14 16:00,2018-11-14 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,Newport Avenue & Bacon Street,32.7431327,-117.2449981
Curbside Bites Food Truck Markets - Downtown Lunch,49827,FARMERS,2018-11-14 11:00,2018-11-14 14:00,300,30,Curbside Bites,www.curbsidebites.com,B & India Streets,32.715738,-117.1610838
Daily Food Trucks,51217,FESTIVAL,2018-11-14 11:00,2018-11-14 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Little Italy's Wednesday Farmers Market,50924,FARMERS,2018-11-14 9:00,2018-11-14 13:00,1200,80,Little Italy Association of San Diego,www.littleitalymercato.com,Date & State Streets,,
Pacific Beach Tuesday Farmers' Market,50500,FARMERS,2018-11-13 14:00,2018-11-13 19:00,800,60,Discover PB,www.pacificbeachmarket.com,Bayard Street & Grand Avenue,32.7999983,-117.254587
Daily Food Trucks,51216,FESTIVAL,2018-11-13 11:00,2018-11-13 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Daily Food Trucks,51215,FESTIVAL,2018-11-12 11:00,2018-11-12 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Daily Food Trucks,51214,FESTIVAL,2018-11-11 11:00,2018-11-11 16:00,,,Parks & Rec & Balboa Park Conservancy,www.balboaparkconservancy.org/project/daily-food-trucks-park/,Village Place and Old Globe Way,32.7328019,-117.147906
Sunday Artisan Market,50581,FARMERS,2018-11-11 10:00,2018-11-11 15:00,3000,20,Gaslamp Quarter Association,www.gaslamp.org,5th Avenue & Market Street,32.7313918,-117.1602848
2018 Hillcrest Farmers' Market (Sundays),49946,FARMERS,2018-11-11 9:00,2018-11-11 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485423,-117.149901
Old Town Artisan's Market,50410,FARMERS,2018-11-11 9:00,2018-11-11 16:30,1000,100,Old Town San Diego Chamber of Commerce,,Harney Street & San Diego Avenue,32.7527792,-117.1949018
USATF San Diego Cross Country Championships,50637,ATHLETIC,2018-11-11 8:00,2018-11-11 10:00,250,25,USATF,,,NaN,NaN
SOSL 's Walk in Remembrance with Hope,50702,ATHLETIC,2018-11-11 7:00,2018-11-11 22:30,1500,100,Survivors of Suicide Loss,www.soslsd.org,Balboa Drive & El Prado,32.73140117,-117.1580272
