event_title,event_id,event_type,event_start,event_end,exp_attendance,exp_participants,event_host,event_url,event_address,lat,long
Tater Tots & Beer Festival,49165,FESTIVAL,2017-02-25 15:00,2017-02-25 18:00,2400,200,Big Food Fest LLC,www.tatertotfestival.com,Park Boulevard & Presidents Way,32.7255716,-117.1505275
Montgomery Waller Community Park Carnival (3 Days),49179,FESTIVAL,2017-02-25 13:00,2017-02-25 23:00,300/day,60,Christiansen Amusements,www.amusements.com,3020 Coronado Avenue,32.577797,-117.0673936
Lumpia Fest,49256,FESTIVAL,2017-02-25 13:00,2017-02-25 16:00,800,80,Jazzed Up Marriages,www.lumpiafest.com,8575 New Salem Street,32.91517749,-117.1398683
Golden Hill Certified Farmer's Market,48877,FARMERS,2017-02-25 9:30,2017-02-25 13:30,500/day,50,Brian's Farmer Markets,www.briansfarmermarkets.com,2700 block of B Street,32.7179192,-117.1360464
City Heights Farmer's Market (Every Saturday),48730,FARMERS,2017-02-25 9:00,2017-02-25 13:00,500/day,100,San Diego County Farm Bureau,www.sdfarmbureau.org,4300 Wightman Street,32.7479815,-117.1018393
Old Town Artisan's Market,49074,FARMERS,2017-02-25 9:00,2017-02-25 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
The Mercato: Little Italy's Farmers Market (Sat.),48782,FARMERS,2017-02-25 8:00,2017-02-25 14:00,1500/day,400,Little Italy Association of San Diego,www.littleitalymercato.com,401 West Cedar Street,32.80563232,-116.95791
Montgomery Waller Community Park Carnival (3 Days),49178,FESTIVAL,2017-02-24 17:00,2017-02-24 23:00,300/day,60,Christiansen Amusements,www.amusements.com,3020 Coronado,32.577797,-117.0673936
North Park Thursday Market,48678,FARMERS,2017-02-23 15:00,2017-02-23 19:30,900,70,North Park Main Street,www.northparkmarket.com,2900 North Park Way,32.74767102,-117.1305303
Ocean Beach Certified Farmer's Market (Wednesdays),48574,FARMERS,2017-02-22 16:00,2017-02-22 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,4900 Block of Newport Avenue,32.7458016,-117.249336
Curbside Bites Food Truck Markets (Wed. Lunch),48524,FARMERS,2017-02-22 11:00,2017-02-22 14:00,300/day,25,Curbside Bites,www.curbsidebites.com,500 West B Street,32.71799441,-117.1676525
Pacific Beach Tuesday Farmer's Market,49015,FARMERS,2017-02-21 14:00,2017-02-21 19:00,800,60,Discover PB,www.pacificbeachmarket.com,4499 Bayard St,32.79687832,-117.2533648
Old Town Artisan's Market,49073,FARMERS,2017-02-19 9:00,2017-02-19 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
2017 Hillcrest Farmers' Market (Sundays),48811,FARMERS,2017-02-19 9:00,2017-02-19 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485387,-117.1498828
Jump Start Your Heart 5K Walk/Run,48929,ATHLETIC,2017-02-19 7:30,2017-02-19 13:30,300,60,The Children's Heart Foundation,www.jumpstartyourheartsd.com,1740 East Mission Bay Drive,32.77676793,-117.2097387
Fiesta Island Time Trial Series,49222,ATHLETIC,2017-02-19 7:00,2017-02-19 9:00,120,20,San Diego Bicycle Club,www.sdbc.org/fiesta-island-time-trial,1400 Fiesta Island Road,32.78888433,-117.2136896
The Ultimate Wine Run,49177,ATHLETIC,2017-02-18 14:00,2017-02-18 21:00,1500,100,The Ultimate Wine Run,www.theultimatewinerun.com,2455 Cushing Road,32.73487869,-117.2139081
Golden Hill Certified Farmer's Market,48876,FARMERS,2017-02-18 9:30,2017-02-18 13:30,500/day,50,Brian's Farmer Markets,www.briansfarmermarkets.com,2700 block of B Street,32.7179192,-117.1360464
City Heights Farmer's Market (Every Saturday),48729,FARMERS,2017-02-18 9:00,2017-02-18 13:00,500/day,100,San Diego County Farm Bureau,www.sdfarmbureau.org,4300 Wightman Street,32.7479815,-117.1018393
Old Town Artisan's Market,49072,FARMERS,2017-02-18 9:00,2017-02-18 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
The Mercato: Little Italy's Farmers Market (Sat.),48781,FARMERS,2017-02-18 8:00,2017-02-18 14:00,1500/day,400,Little Italy Association of San Diego,www.littleitalymercato.com,401 West Cedar Street,32.80563232,-116.95791
North Park Thursday Market,48677,FARMERS,2017-02-16 15:00,2017-02-16 19:30,900,70,North Park Main Street,www.northparkmarket.com,2900 North Park Way,32.74767102,-117.1305303
Ocean Beach Certified Farmer's Market (Wednesdays),48573,FARMERS,2017-02-15 16:00,2017-02-15 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,4900 Block of Newport Avenue,32.7458016,-117.249336
Curbside Bites Food Truck Markets (Wed. Lunch),48523,FARMERS,2017-02-15 11:00,2017-02-15 14:00,300/day,25,Curbside Bites,www.curbsidebites.com,500 West B Street,32.71799441,-117.1676525
Pacific Beach Tuesday Farmer's Market,49014,FARMERS,2017-02-14 14:00,2017-02-14 19:00,800,60,Discover PB,www.pacificbeachmarket.com,4499 Bayard St,32.79687832,-117.2533648
Circus Vargas (11-Day Event),48942,FESTIVAL,2017-02-13 18:30,2017-02-13 20:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
Circus Vargas (11-Day Event),48940,FESTIVAL,2017-02-12 12:30,2017-02-12 20:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
2017 San Diego Chinese New Year Fair,48931,FESTIVAL,2017-02-12 10:00,2017-02-12 17:00,20000,600,Chinese Consolidated Benevolent Association,www.sdcny.org,404 3rd Avenue,32.70954252,-117.1622153
Old Town Artisan's Market,49071,FARMERS,2017-02-12 9:00,2017-02-12 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
2017 Hillcrest Farmers' Market (Sundays),48810,FARMERS,2017-02-12 9:00,2017-02-12 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485387,-117.1498828
Ray at Night (2nd Saturday Each Month),48858,EXHIBITS,2017-02-11 18:00,2017-02-11 22:00,500/day,40,North Park for the Arts,www.northparkarts.org,3800 block of Ray Street,32.7475282,-117.1293405
Circus Vargas (11-Day Event),48938,FESTIVAL,2017-02-11 13:00,2017-02-11 21:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
2017 San Diego Chinese New Year Fair,48930,FESTIVAL,2017-02-11 10:00,2017-02-11 17:00,20000,600,Chinese Consolidated Benevolent Association,www.sdcny.org,404 3rd Avenue,32.70954252,-117.1622153
Golden Hill Certified Farmer's Market,48875,FARMERS,2017-02-11 9:30,2017-02-11 13:30,500/day,50,Brian's Farmer Markets,www.briansfarmermarkets.com,2700 block of B Street,32.7179192,-117.1360464
City Heights Farmer's Market (Every Saturday),48728,FARMERS,2017-02-11 9:00,2017-02-11 13:00,500/day,100,San Diego County Farm Bureau,www.sdfarmbureau.org,4300 Wightman Street,32.7479815,-117.1018393
Old Town Artisan's Market,49070,FARMERS,2017-02-11 9:00,2017-02-11 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
The Mercato: Little Italy's Farmers Market (Sat.),48780,FARMERS,2017-02-11 8:00,2017-02-11 14:00,1500/day,400,Little Italy Association of San Diego,www.littleitalymercato.com,401 West Cedar Street,32.80563232,-116.95791
Circus Vargas (11-Day Event),48936,FESTIVAL,2017-02-10 16:30,2017-02-10 21:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Dr & E Mission Bay Dr,32.76716671,-117.2086601
Circus Vargas (11-Day Event),48944,FESTIVAL,2017-02-09 19:00,2017-02-09 19:00,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
North Park Thursday Market,48676,FARMERS,2017-02-09 15:00,2017-02-09 19:30,900,70,North Park Main Street,www.northparkmarket.com,2900 North Park Way,32.74767102,-117.1305303
Circus Vargas (11-Day Event),48943,FESTIVAL,2017-02-08 19:00,2017-02-08 19:00,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
Ocean Beach Certified Farmer's Market (Wednesdays),48572,FARMERS,2017-02-08 16:00,2017-02-08 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,4900 Block of Newport Avenue,32.7458016,-117.249336
Curbside Bites Food Truck Markets (Wed. Lunch),48522,FARMERS,2017-02-08 11:00,2017-02-08 14:00,300/day,25,Curbside Bites,www.curbsidebites.com,500 West B Street,32.71799441,-117.1676525
Pacific Beach Tuesday Farmer's Market,49013,FARMERS,2017-02-07 14:00,2017-02-07 19:00,800,60,Discover PB,www.pacificbeachmarket.com,4499 Bayard St,32.79687832,-117.2533648
Circus Vargas (11-Day Event),48941,FESTIVAL,2017-02-06 18:30,2017-02-06 20:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
Circus Vargas (11-Day Event),48939,FESTIVAL,2017-02-05 12:30,2017-02-05 20:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
2017 Hillcrest Farmers' Market (Sundays),48809,FARMERS,2017-02-05 9:00,2017-02-05 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485387,-117.1498828
Old Town Artisan's Market,49069,FARMERS,2017-02-05 9:00,2017-02-05 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
Circus Vargas (11-Day Event),48937,FESTIVAL,2017-02-04 13:00,2017-02-04 21:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Drive & E. Mission Bay Drive,32.76716671,-117.2086601
Golden Hill Certified Farmer's Market,48874,FARMERS,2017-02-04 9:30,2017-02-04 13:30,500/day,50,Brian's Farmer Markets,www.briansfarmermarkets.com,2700 block of B Street,32.7179192,-117.1360464
City Heights Farmer's Market (Every Saturday),48727,FARMERS,2017-02-04 9:00,2017-02-04 13:00,500/day,100,San Diego County Farm Bureau,www.sdfarmbureau.org,4300 Wightman Street,32.7479815,-117.1018393
Old Town Artisan's Market,49068,FARMERS,2017-02-04 9:00,2017-02-04 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
The Mercato: Little Italy's Farmers Market (Sat.),48779,FARMERS,2017-02-04 8:00,2017-02-04 14:00,1500/day,400,Little Italy Association of San Diego,www.littleitalymercato.com,401 West Cedar Street,32.80563232,-116.95791
Super Run 10K & 5K Run/Walk,49163,ATHLETIC,2017-02-04 7:30,2017-02-04 10:30,1500,80,Water for Children Africa,www.kathyloperevents.com,404 Sea World Drive,32.76115329,-117.2210702
Circus Vargas (11-Day Event),48935,FESTIVAL,2017-02-03 16:30,2017-02-03 21:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Dr & E Mission Bay Dr,32.76716671,-117.2086601
Circus Vargas (11-Day Event),48934,FESTIVAL,2017-02-02 19:30,2017-02-02 21:30,500/show,100,Tabares Entertainment Inc.,www.circusvargas.com,Sea World Dr & E Mission Bay Dr,32.76716671,-117.2086601
North Park Thursday Market,48675,FARMERS,2017-02-02 15:00,2017-02-02 19:30,900,70,North Park Main Street,www.northparkmarket.com,2900 North Park Way,32.74767102,-117.1305303
Ocean Beach Certified Farmer's Market (Wednesdays),48571,FARMERS,2017-02-01 16:00,2017-02-01 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,4900 Block of Newport Avenue,32.7458016,-117.249336
Curbside Bites Food Truck Markets (Wed. Lunch),48521,FARMERS,2017-02-01 11:00,2017-02-01 14:00,300/day,25,Curbside Bites,www.curbsidebites.com,500 West B Street,32.71799441,-117.1676525
Pacific Beach Tuesday Farmer's Market,49012,FARMERS,2017-01-31 14:00,2017-01-31 19:00,800,60,Discover PB,www.pacificbeachmarket.com,4499 Bayard St,32.79687832,-117.2533648
